set,doc,k,features,sn_dep_r2_oof,sn_dep_r2_lockbox,sn_dep_n_dev,Cx_sn_theta1sd,Cx_sn_lo,Cx_sn_hi,Cx_sn_en_cota,GN_sn_dep_theta1sd,GN_sn_dep_lo,GN_sn_dep_hi,GN_sn_dep_en_cota,feo_ret_r2_oof,feo_ret_r2_lockbox,feo_ret_n_dev,C_feo_theta1sd,C_feo_lo,C_feo_hi,C_feo_en_cota,GN_feo_ret_theta1sd,GN_feo_ret_lo,GN_feo_ret_hi,GN_feo_ret_en_cota,balance_Cx_sn_r2_oof,balance_Cx_sn_resid_sd,balance_Cx_sn_raw_sd,balance_Cx_sn_frac_sd_residual
T1_nucleo_fisico,"10 variables de balance/estado terminal: inventarios Sn/FeO/masa, avance, T horno, orden del escalon, historia de carbon (acumulado y C/Sn acumulado), basicidad B2, IRF",10,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;cum_feed_Carbon_kg_prev;relacion_C_cum_Sn_cum_prev;basicidad_B2_prev;indice_irf_prev,0.7361160117588144,0.7997297597266061,1083,0.1548151328840694,1.4298916402543148e-14,0.280060814168841,False,0.008713092077957781,8.191630561975794e-23,0.05765724970294136,False,0.2958956522016969,0.4476917784198109,1083,-1.0729751403127283e-18,-0.01607715480339831,-8.868336198567875e-29,True,-0.00895855078207741,-0.0168695389172218,-4.098021123520423e-12,False,0.9671861557271442,59.718504738031676,329.83099338858494,0.1810578930879164
T2_leyes,"T1 + leyes de ensayo previas (%Sn,%FeO,%SiO2,%CaO) + fraccion no reducible (m6_resto_frac_prev): completa la composicion de la escoria que T1 solo resume via ratios",15,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;cum_feed_Carbon_kg_prev;relacion_C_cum_Sn_cum_prev;basicidad_B2_prev;indice_irf_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;m6_resto_frac_prev,0.7398361514980434,0.7976418796808609,1083,0.12242608756664622,8.321408485705151e-16,0.2589078585687978,False,0.020229484365231497,3.3468110578521997e-19,0.06487062148982346,False,0.309793568920135,0.42314164903937124,1083,-1.4002642903981681e-09,-0.018130980594796536,-9.059410847365839e-32,True,-0.012353717386408131,-0.020755462303135404,-0.002461265655261462,False,0.968374433607314,58.62865195148066,329.83099338858494,0.17775361662998201
T3_termico_lanza,"T2 + termicos (termocupla, gradiente T horno) + posicion de lanza previa: geometria/energia del bano que modula la cinetica de reduccion",18,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;cum_feed_Carbon_kg_prev;relacion_C_cum_Sn_cum_prev;basicidad_B2_prev;indice_irf_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;m6_resto_frac_prev;termocupla_media_celsius_prev;grad_temperatura_horno_celsius_prev;posicion_vertical_lanza_mm_prev,0.7560398391355873,0.809917781218831,1083,0.18572043989767056,1.0127703558266017e-10,0.32283429858073853,False,0.0366145863847035,4.0679050633762924e-10,0.07510977707211042,False,0.3374450162801733,0.45212573980660986,1083,-5.24143515467305e-14,-0.01569696133647602,-4.0667824153728204e-41,True,-0.013682397315464738,-0.020575742153698413,-0.0047592725936725306,False,0.9682693307603161,58.72559704625161,329.83099338858494,0.17804754017481011
T4_historia_gases,"T3 + historia acumulada de gases (GN,O2,aire) + tiempo de fase + espesor de ladrillo + leyes de carga del batch (Sn en carga/dross/pellets): historia completa de dosificacion y contexto de batch",26,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;cum_feed_Carbon_kg_prev;relacion_C_cum_Sn_cum_prev;basicidad_B2_prev;indice_irf_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;m6_resto_frac_prev;termocupla_media_celsius_prev;grad_temperatura_horno_celsius_prev;posicion_vertical_lanza_mm_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;cum_aire_nm3_prev;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct,0.7582316310187044,0.8024372607871325,1058,0.18077901180943323,0.03989980876356634,0.3145432012077626,False,0.049743338657510315,0.006989248179505732,0.09428946836707881,False,0.3228073919358556,0.4813815869879424,1058,-4.55367644748664e-17,-0.026575393035409123,-6.025842706242442e-35,True,-0.010559718792758514,-0.018544287984929016,-0.002582000191730289,False,0.9712576558877396,56.15522581244763,331.38803802338225,0.1694545951247806
T1_sin_dosif,T1 sin cum_feed_Carbon_kg_prev ni relacion_C_cum_Sn_cum_prev (prueba H6),8,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;basicidad_B2_prev;indice_irf_prev,0.7377387651598112,0.8009840324978361,1083,0.11748364756645067,8.667279454074954e-16,0.2618079444495639,False,1.1958312922481502e-14,2.171627414414361e-25,0.04433953901233406,True,0.29064052797926154,0.4276787448820618,1083,-4.729680669118351e-11,-0.016757626691360276,-1.3916396679585643e-37,True,-0.002396213372048249,-0.010923049435484269,-9.50139913549489e-24,False,0.968205388695242,58.78413588123124,329.83099338858494,0.17822502147933586
T2_sin_dosif,T2 sin la historia de dosificacion de carbon,13,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;basicidad_B2_prev;indice_irf_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;m6_resto_frac_prev,0.7417555414594919,0.7943634947118208,1083,0.07735599745565912,3.9287549953006684e-18,0.22129793704176803,False,0.01003179967039667,4.602354398258913e-24,0.05599697939668182,False,0.2926308086147288,0.40461676390747914,1083,-0.009542647653682282,-0.026004713708249166,-1.397125160906236e-28,False,-0.009339527802191579,-0.017787405719211308,-3.1457063617575847e-10,False,0.9684382681060826,58.56928260597786,329.83099338858494,0.17757361733733562
T3_sin_dosif,T3 sin la historia de dosificacion de carbon,16,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;basicidad_B2_prev;indice_irf_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;m6_resto_frac_prev;termocupla_media_celsius_prev;grad_temperatura_horno_celsius_prev;posicion_vertical_lanza_mm_prev,0.7554319036262844,0.8118144346196337,1083,0.1729568731174879,4.486954673158339e-11,0.30595417609673253,False,0.0449200189436472,0.002437813057634291,0.08680374643066235,False,0.33121496229375313,0.38619652699691176,1083,-9.904642462179688e-14,-0.0169536101557569,-3.307194553758066e-44,True,-0.012983066355714496,-0.019880384486884967,-0.0032301111780334234,False,0.9685075597420592,58.50496413981657,329.83099338858494,0.17737861302467084
T4_sin_dosif,"T4 sin toda la historia de dosificacion (carbon acum., C/Sn acum., GN/O2/aire acum.)",21,m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_masa_kg_prev;m6_avance_prev;temperatura_horno_celsius_prev;orden_escalon_fase;basicidad_B2_prev;indice_irf_prev;ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;m6_resto_frac_prev;termocupla_media_celsius_prev;grad_temperatura_horno_celsius_prev;posicion_vertical_lanza_mm_prev;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct,0.7484790076440018,0.8085424146410198,1058,0.21786735006570457,0.040462460097422485,0.3757757485184071,False,0.03318606654603698,7.584681408746504e-15,0.08087140876415858,False,0.3083437096739442,0.4573932395306888,1058,-8.725394236911896e-14,-0.0314315329140403,-7.208722391101588e-32,True,-0.011367414986730799,-0.01804565599946703,-0.0022933089462256993,False,0.971948386778155,55.475988716240956,331.38803802338225,0.16740492217865344
FULL,"estado FULL v6 (38, referencia)",38,ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;basicidad_B2_prev;basicidad_B4_prev;indice_estructural_molar_prev;indice_irf_prev;ratio_sn_feo_prev;ratio_sn_sio2_prev;log_ratio_sn_feo_prev;interaccion_Sn_x_FeO_prev;interaccion_FeO_x_B2_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;termocupla_media_celsius_prev;tiro_horno_pct_prev;posicion_vertical_lanza_mm_prev;temperatura_gas_pre_bhf_celsius_prev;cum_feed_Sn_kg_prev;cum_feed_total_kg_prev;cum_feed_CaO_kg_prev;cum_feed_Carbon_kg_prev;cum_gn_nm3_prev;cum_o2_nm3_prev;cum_aire_nm3_prev;relacion_C_cum_Sn_cum_prev;m6_masa_kg_prev;m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_avance_prev;orden_escalon_fase;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;ley_sn_dross_batch_pct;ley_sn_pellets_batch_pct;m6_resto_frac_prev,0.7652489876932658,0.7996825168326529,1058,0.16445958726122442,0.02456687737407819,0.2909801913242671,False,0.05248017427366638,0.005335167325490215,0.10165355972838587,False,0.3293346891031186,0.48614296954594594,1058,-6.321022191707774e-13,-0.030606417277166398,-5.175861173475729e-28,True,-0.01188029877413039,-0.019893687522969654,-0.003962726320708744,False,0.9703028369574341,57.08044593384829,331.38803802338225,0.17224654901339792
CURADO,"estado curado v5/v6 (22, referencia; sin historia de dosificacion salvo m6_resto_frac_prev)",22,ley_sn_escoria_pct_prev;ley_feo_escoria_pct_prev;ley_sio2_escoria_pct_prev;ley_cao_escoria_pct_prev;indice_irf_prev;basicidad_B2_prev;log_ratio_sn_feo_prev;temperatura_horno_celsius_prev;grad_temperatura_horno_celsius_prev;termocupla_media_celsius_prev;posicion_vertical_lanza_mm_prev;tiro_horno_pct_prev;m6_masa_kg_prev;m6_sn_inv_kg_prev;m6_feo_inv_kg_prev;m6_avance_prev;orden_escalon_fase;tiempo_fase;espesor_ladrillo_norm_mm;ley_sn_carga_batch_pct;m6_resto_frac_prev;m6_G_pct_prev,0.7566470048432362,0.8094841086557087,1082,0.164104673950527,3.4614020771363665e-11,0.3107044487105733,False,0.05100802204440237,0.011037404541530547,0.09149592228949437,False,0.32784484825448745,0.4806285515926474,1082,-1.3237283950158058e-20,-0.015102090039809666,-1.7745501331460757e-46,True,-0.011397880832336064,-0.017828251751245812,-0.002365257856708444,False,0.9688427088979789,58.20936345960338,329.9300294177146,0.17642941917816835
